title_clean,venue_clean,authors_raw,authors_parsed,authors_is_missing,doi_clean,doi_prefix,doi_suffix_head,doi_suffix_head_missing,Label
autonomous task completion based on goal-directed answer set programming.,iclp,Alexis R. Tudor,alexis r. tudor,0,10.4204/eptcs.416.39,10.4204,eptcs,0,5
non-monotone fixpoint theory based on the structure of weak bilattices.,kr,"Angelos Charalambidis, Giannos Chatziagapis, Babis Kostopoulos, Panos Rondogiannis",angelos charalambidis | giannos chatziagapis | babis kostopoulos | panos rondogiannis,0,10.24963/kr.2024/23,10.24963,kr,0,1
adding circumscription to decidable fragments of first-order logic: a complexity rollercoaster.,kr,"Carsten Lutz, Quentin Manière",carsten lutz | quentin mani re,0,10.24963/kr.2024/50,10.24963,kr,0,2
two-variable logic for hierarchically partitioned and ordered data.,kr,"Oskar Fiuk, Emanuel Kieroński, Vincent Michielini",oskar fiuk | emanuel kiero ski | vincent michielini,0,10.24963/kr.2025/31,10.24963,kr,0,2
general game playing - killer app for logic programming.,iclp,Michael Thielscher,michael thielscher,0,10.1007/978-3-642-02846-5 28,10.1007,,1,3
recursive aggregates as intensional functions.,iclp,"Jorge Fandinno, Zachary Hansen",jorge fandinno | zachary hansen,0,10.1609/aaai.v39i14.33633,10.1609,aaai,0,4
generative logic: teaching prolog as generative ai in art and design.,iclp,Shalin Hai-Jew,shalin hai-jew,0,10.4018/979-8-3693-0074-9.ch010,10.4018,ch,0,2
credible models of belief update.,kr,"Eduardo Fermé, Sébastien Konieczny, Ramón Pino Pérez, Nicolas Schwind",eduardo ferm | s bastien konieczny | ram n pino p rez | nicolas schwind,0,10.24963/kr.2023/25,10.24963,kr,0,1
geospatial trajectory generation via efficient abduction: deployment for independent testing.,iclp,"Divyagna Bavikadi, Dyuman Aditya, Devendra Parkar, Paulo Shakarian, Graham Mueller, Chad Parvis, Gerardo I. Simari",divyagna bavikadi | dyuman aditya | devendra parkar | paulo shakarian | graham mueller | chad parvis | gerardo i. simari,0,10.4204/eptcs.416.24,10.4204,eptcs,0,1
streamlining input/output logics with sequent calculi.,kr,"Agata Ciabattoni, Dmitry Rozplokhas",agata ciabattoni | dmitry rozplokhas,0,10.24963/kr.2023/15,10.24963,kr,0,2
democratising access to logic programming: a web application design tool for querying prolog code.,iclp,,,1,10.7551/mitpress/4316.003.0026,10.7551,mitpress,0,2
reliable conversational agents under asp control that understand natural language.,iclp,Yankai Zeng,yankai zeng,0,10.4204/eptcs.416.41,10.4204,eptcs,0,1
learning commonsense knowledge through interactive dialogue.,iclp,"Benjamin Wu, Alessandra Russo, Mark Law, Katsumi Inoue",benjamin wu | alessandra russo | mark law | katsumi inoue,0,10.29007/lrph,10.29007,lrph,0,2
argumentative causal discovery.,kr,"Fabrizio Russo, Anna Rapberger, Francesca Toni",fabrizio russo | anna rapberger | francesca toni,0,10.24963/kr.2024/88,10.24963,kr,0,3
architecture for simulating behavior mode changes in norm-aware autonomous agents.,iclp,"Sean Glaze, Daniela Inclezan",sean glaze | daniela inclezan,0,10.4204/eptcs.416.7,10.4204,eptcs,0,2
mtlearn: extracting temporal rules using datalog rule learners.,kr,"Dingmin Wang, Przemysław Andrzej Wałęga, Bernardo Cuenca Grau",dingmin wang | przemys aw andrzej wa ga | bernardo cuenca grau,0,10.24963/kr.2024/90,10.24963,kr,0,1
solving gossip problems using answer set programming: an epistemic planning approach.,iclp,"Esra Erdem, Andreas Herzig",esra erdem | andreas herzig,0,10.4204/eptcs.325.11,10.4204,eptcs,0,4
inductive first-order formula synthesis by asp: a case study in invariant inference.,iclp,"Ziyi Yang, George Pîrlea, Ilya Sergey",ziyi yang | george p rlea | ilya sergey,0,10.4204/eptcs.439.35,10.4204,eptcs,0,3
towards parallelising extension construction for serialisable semantics in abstract argumentation.,kr,"Lars Bengel, Matthias Thimm",lars bengel | matthias thimm,0,10.24963/kr.2023/72,10.24963,kr,0,1
ontology-based query answering over datalog-expressible rule sets is undecidable.,kr,"David Carral, Lucas Larroque, Michaël Thomazo",david carral | lucas larroque | micha l thomazo,0,10.24963/kr.2024/22,10.24963,kr,0,4
reasoning about study regulations in answer set programming preliminary report .,iclp,"SUSANA HAHN, TORSTEN SCHAUB, CEDRIC MARTENS, AMADE NEMES, HENRY OTUNUYA, JAVIER ROMERO, SEBASTIAN SCHELLHORN",susana hahn | torsten schaub | cedric martens | amade nemes | henry otunuya | javier romero | sebastian schellhorn,0,10.1017/s1471068424000383,10.1017,s,0,5
proceedings 36th international conference on logic programming technical communications iclp technical communications 2020 technical communications unical rende cs italy 18-24th september 2020.,iclp,,,1,10.1109/cscc49995.2020.00008,10.1109,cscc,0,1
reasoning about knowledge on regular expressions is 2exptime-complete.,kr,"Avijeet Ghosh, Sujata Ghosh, François Schwarzentruber",avijeet ghosh | sujata ghosh | fran ois schwarzentruber,0,10.24963/kr.2025/35,10.24963,kr,0,2
weighted merging operators: product utility-based operators and egalitarianism.,kr,"Patricia Everaere, Sébastien Konieczny, Ramón Pino Pérez",patricia everaere | s bastien konieczny | ram n pino p rez,0,10.24963/kr.2024/31,10.24963,kr,0,1
revising boolean logical models of biological regulatory networks.,kr,"Frederico Aleixo, Matthias Knorr, João Leite",frederico aleixo | matthias knorr | jo o leite,0,10.24963/kr.2023/2,10.24963,kr,0,3
can llms solve asp problems insights from a benchmarking study.,kr,"Lin Ren, Guohui Xiao, Guilin Qi, Yishuai Geng, Haohan Xue",lin ren | guohui xiao | guilin qi | yishuai geng | haohan xue,0,10.24963/kr.2025/60,10.24963,kr,0,3
contractions based on optimal repairs.,kr,"Franz Baader, Renata Wassermann",franz baader | renata wassermann,0,10.25368/2024.122,10.25368,,1,1
early validation of high-level requirements on cyber-physical systems.,iclp,Ondřej Vašíček,ond ej va ek,0,10.4204/eptcs.416.40,10.4204,eptcs,0,1
deep inductive logic programming meets reinforcement learning.,iclp,", Yushi Cao",yushi cao,0,10.32657/10356/182530,10.32657,,1,4
a neurosymbolic approach to fraud detection on financial data in the public administration.,iclp,,,1,10.1002/9781118936764.ch2,10.1002,ch,0,5
value awareness and process automation: a reflection through school place allocation models.,iclp,"Joaquín Arias, Mar Moreno-Rebato, Jose A. Rodriguez-García, Sascha Ossowski",joaqu n arias | mar moreno-rebato | jose a. rodriguez-garc a | sascha ossowski,0,10.1007/978-3-031-58202-8 16,10.1007,,1,1
advancing algorithmic approaches to probabilistic argumentation under the constellation approach.,kr,"Andrei Popescu, Johannes P. Wallner",andrei popescu | johannes p. wallner,0,10.24963/kr.2024/55,10.24963,kr,0,2
early validation of high-level requirements on cyber-physical systems.,iclp,Ondřej Vašíček,ond ej va ek,0,10.4204/eptcs.416.40,10.4204,eptcs,0,1
reasoning about probability via continuous functions.,kr,"Tommaso Flaminio, Sandro Preto, Sara Ugolini",tommaso flaminio | sandro preto | sara ugolini,0,10.24963/kr.2023/28,10.24963,kr,0,4
propositional abduction via only-knowing: a non-monotonic approach.,iclp,"Sanderson Molick, Vaishak Belle",sanderson molick | vaishak belle,0,10.4204/eptcs.439.2,10.4204,eptcs,0,3
visual graph question answering with asp and llms for language parsing.,iclp,"Jakob Johannes Bauer, Thomas Eiter, Nelson Higuera Ruiz, Johannes Oetsch",jakob johannes bauer | thomas eiter | nelson higuera ruiz | johannes oetsch,0,10.4204/eptcs.416.2,10.4204,eptcs,0,5
how to manage a budget with atl+.,kr,"Stéphane Demri, Raine Rönnholm",st phane demri | raine r nnholm,0,10.24963/kr.2023/19,10.24963,kr,0,5
automating disease management using answer set programming.,iclp,,,1,10.1017/cbo9781139342124.007,10.1017,cbo,0,5
natural language generation from ontologies using grammatical framework.,iclp,Dan Moldovan,dan moldovan,0,10.21236/ada512325,10.21236,ada,0,3
explanations generation for web service workflow.,iclp,"Shifeng Yan, Ying Li, Shuiguang Deng, Zhaohui Wu",shifeng yan | ying li | shuiguang deng | zhaohui wu,0,10.1109/nwesp.2005.12,10.1109,nwesp,0,2
incentive design for rational agents.,kr,"David Hyland, Munyque Mittelmann, Aniello Murano, Giuseppe Perelli, Michael Wooldridge",david hyland | munyque mittelmann | aniello murano | giuseppe perelli | michael wooldridge,0,10.24963/kr.2024/44,10.24963,kr,0,2
semantics for hybrid probabilistic logic programs with function symbols: technical summary.,iclp,Fabrizio Riguzzi,fabrizio riguzzi,0,10.1201/9781003427421-5,10.1201,,1,4
nexsim: a system for explaining nexus of similarities.,iclp,,,1,10.18356/7a3e9edf-en,10.18356,a,0,4
unified foundations of team semantics via semirings.,kr,"Timon Barlag, Miika Hannula, Juha Kontinen, Nina Pardal, Jonni Virtema",timon barlag | miika hannula | juha kontinen | nina pardal | jonni virtema,0,10.24963/kr.2023/8,10.24963,kr,0,1
a query evaluation method for asp with abduction.,iclp,"Gerhard Wetzel, Francesca Toni",gerhard wetzel | francesca toni,0,10.1007/bfb0056017,10.1007,bfb,0,4
modelling cyber defenses using s casp .,iclp,,,1,10.1057/9781137476180.0009,10.1057,,1,1
explaining reasoning results for owl ontologies with evee.,kr,"Christian Alrabbaa, Stefan Borgwardt, Tom Friese, Anke Hirsch, Nina Knieriemen, Patrick Koopmann, Alisa Kovtunova, Antonio Krüger, Alexej Popovič, Ida Siahaan",christian alrabbaa | stefan borgwardt | tom friese | anke hirsch | nina knieriemen | patrick koopmann | alisa kovtunova | antonio kr ger | alexej popovi | ida siahaan,0,10.24963/kr.2024/67,10.24963,kr,0,5
consistent query answering over shacl constraints.,kr,"Shqiponja Ahmetaj, Timo Camillo Merkl, Reinhard Pichler",shqiponja ahmetaj | timo camillo merkl | reinhard pichler,0,10.24963/kr.2024/1,10.24963,kr,0,1
data2concept2text: an explainable multilingual framework for data analysis narration.,iclp,"Flavio Bertini, Alessandro Dal Palù, Federica Zaglio, Francesco Fabiano, Andrea Formisano",flavio bertini | alessandro dal pal | federica zaglio | francesco fabiano | andrea formisano,0,10.4204/eptcs.416.13,10.4204,eptcs,0,4
argument analysis using answer set programming and semantics-guided large language models.,iclp,Fabrizio Riguzzi,fabrizio riguzzi,0,10.1201/9781003427421-6,10.1201,,1,1
answer set solving with generalized learned constraints.,iclp,Ivor Uhliarik,ivor uhliarik,0,10.5220/0006518303670372,10.5220,,1,5
visualizing kripke models in logikey: the case of sdl.,iclp,"N. Mansurov, D. Zhukov",n. mansurov | d. zhukov,0,10.1016/b978-044450228-5/50016-3,10.1016,b,0,3
s casp for swi-prolog.,iclp,Matthias Gondan,matthias gondan,0,10.32614/cran.package.rswipl,10.32614,cran,0,1
a preliminary evaluation of open-source llms for datalog-based semantic parsing in the asvin project.,iclp,"Amad Atiq, George Ubakanma, Muddesar Iqbal",amad atiq | george ubakanma | muddesar iqbal,0,10.1109/es64449.2025.11136269,10.1109,es,0,1
fixpoint semantics for datalogmtl with negation.,iclp,Samuele Pollaci,samuele pollaci,0,10.4204/eptcs.439.19,10.4204,eptcs,0,2
when is a program an actual cause,iclp,,,1,10.1017/cbo9780511803161.012,10.1017,cbo,0,4
resource allocation with cooperative agents.,iclp,,,1,10.1017/cbo9780511619748.013,10.1017,cbo,0,2
a causal perspective on ai deception in games.,iclp,,,1,10.4135/9781483306902.n155,10.4135,n,0,4
queries with exact truth values in paraconsistent description logics.,kr,"Meghyn Bienvenu, Camille Bourgaux, Daniil Kozhemiachenko",meghyn bienvenu | camille bourgaux | daniil kozhemiachenko,0,10.1613/jair.1.18676,10.1613,jair,0,3
proceedings 40th international conference on logic programming iclp 2024 university of texas at dallas dallas texas usa october 14-17 2024.,iclp,", Naif Alatrush, Sultan Alsarra, , Afraa Alshammari, , Luay Abdeljaber, , Niamat Zawad, , Latifur Khan, , Patrick T. Brandt, , Javier Osorio, , Vito J. D’Orazio, ",naif alatrush | sultan alsarra | afraa alshammari | luay abdeljaber | niamat zawad | latifur khan | patrick t. brandt | javier osorio | vito j. d orazio,0,10.26615/978-954-452-098-4-007,10.26615,,1,1
shacl validation under the well-founded semantics.,kr,"Cem Okulmus, Mantas Šimkus",cem okulmus | mantas imkus,0,10.24963/kr.2024/52,10.24963,kr,0,2
logical judges challenge human judges on the strange case of b.c.-valjean.,iclp,"Viviana Mascardi, Domenico Pellegrini",viviana mascardi | domenico pellegrini,0,10.4204/eptcs.325.32,10.4204,eptcs,0,1
the pyglaf argumentation reasoner.,iclp,Mario Alviano,mario alviano,0,10.3233/fi-2019-1808,10.3233,fi,0,1
decomposition strategies for solving scheduling problems in industrial applications.,iclp,Mohammed M. S. El-Kholany,mohammed m. s. el-kholany,0,10.4204/eptcs.364.39,10.4204,eptcs,0,3
explanations for answer set programming.,iclp,,,1,10.1017/cbo9781139342124.007,10.1017,cbo,0,5
a neurosymbolic framework for bias correction in convolutional neural networks.,iclp,"PARTH PADALKAR, NATALIA ŚLUSARZ, EKATERINA KOMENDANTSKAYA, GOPAL GUPTA",parth padalkar | natalia lusarz | ekaterina komendantskaya | gopal gupta,0,10.1017/s1471068424000322,10.1017,s,0,3
dmapf: a decentralized and distributed solver for multi-agent path finding problem with obstacles.,iclp,"Poom Pianpak, Tran Cao Son",poom pianpak | tran cao son,0,10.4204/eptcs.345.24,10.4204,eptcs,0,1
a prolog program for bottom-up evaluation.,iclp,David S. Warren,david s. warren,0,10.4204/eptcs.416.20,10.4204,eptcs,0,5
computing diverse optimal stable models.,iclp,,,1,10.7551/mitpress/4316.003.0016,10.7551,mitpress,0,1
from vision to execution: enabling knowledge representation and reasoning in hybrid intelligent robots playing mobile games.,kr,"Denise Angilica, Mario Avolio, Giovanni Beraldi, Giovambattista Ianni, Francesco Pacenza",denise angilica | mario avolio | giovanni beraldi | giovambattista ianni | francesco pacenza,0,10.24963/kr.2023/5,10.24963,kr,0,2
machine learning model integration with open world temporal logic for process automation.,iclp,"Dyuman Aditya, Colton Payne, Mario Leiva, Paulo Shakarian",dyuman aditya | colton payne | mario leiva | paulo shakarian,0,10.4204/eptcs.439.4,10.4204,eptcs,0,2
first order logic and commonsense reasoning: a path less travelled.,iclp,,,1,10.1302/3114-230258,10.1302,,1,2
representing and evaluating sbvr specification via asp.,iclp,"Murali Mohanan, Imran Sarwar Bajwa",murali mohanan | imran sarwar bajwa,0,10.4018/ijossp.2019040104,10.4018,ijossp,0,4
a planning compilation to reason about goal achievement at planning time.,kr,"Alberto Pozanco, Marianela Morales, Daniel Borrajo, Manuela Veloso",alberto pozanco | marianela morales | daniel borrajo | manuela veloso,0,10.24963/kr.2025/82,10.24963,kr,0,1
cost-optimal delete-free classical planning via maximum satisfiability.,kr,"Masood Feyzbakhsh Rankooh, Andreas Niskanen, Matti Järvisalo",masood feyzbakhsh rankooh | andreas niskanen | matti j rvisalo,0,10.24963/kr.2025/75,10.24963,kr,0,1
verification of general games with imperfect information using strategy logic.,kr,"Yifan He, Munyque Mittelmann, Aniello Murano, Abdallah Saffidine, Michael Thielscher",yifan he | munyque mittelmann | aniello murano | abdallah saffidine | michael thielscher,0,10.24963/kr.2024/40,10.24963,kr,0,2
conflict handling in product configuration using answer set programming.,iclp,Seemran Mishra,seemran mishra,0,10.4204/eptcs.345.46,10.4204,eptcs,0,4
llm+reasoning+planning for supporting incomplete user queries in presence of apis.,iclp,"Sudhir Agarwal, Anu Sreepathy, David H. Alonso, Prarit Lamba",sudhir agarwal | anu sreepathy | david h. alonso | prarit lamba,0,10.4204/eptcs.416.3,10.4204,eptcs,0,2
neuro-symbolic agent with asp for robust exception learning in text-based games.,iclp,"Vinod Mishra, Julian Briseno, Mani Srivastava",vinod mishra | julian briseno | mani srivastava,0,10.21236/ad1230960,10.21236,ad,0,4
causes for changing profiles preliminary report .,kr,,,1,10.3133/b333,10.3133,b,0,3
prolog coding guidelines: status and tool support.,iclp,"Falco Nogatz, Philipp Körner, Sebastian Krings",falco nogatz | philipp k rner | sebastian krings,0,10.4204/eptcs.306.8,10.4204,eptcs,0,5
an llm + asp workflow for joint entity-relation extraction.,iclp,"Trang Tran, Trung Hoang Le, Huiping Cao, Tran Cao Son",trang tran | trung hoang le | huiping cao | tran cao son,0,10.4204/eptcs.439.6,10.4204,eptcs,0,4
comprehensive multi-agent epistemic planning.,iclp,Francesco Fabiano,francesco fabiano,0,10.4204/eptcs.345.41,10.4204,eptcs,0,3
front matter table of contents preface conference organization.,iclp,,,1,10.1484/m.art-eb.5.138353,10.1484,m,0,1
constraint cnf: sat and csp language under one roof.,iclp,Justyna Petke,justyna petke,0,10.1007/978-3-319-21810-6 6,10.1007,,1,3
a scalable approach to probabilistic compliance in declarative process mining.,iclp,"Christian Sturm, Stefan Schönig, Stefan Jablonski",christian sturm | stefan sch nig | stefan jablonski,0,10.5220/0006710305850595,10.5220,,1,3
reasoning in shiq with axiom- and concept-level standpoint modalities.,kr,"Lucía Gómez Álvarez, Sebastian Rudolph",luc a g mez lvarez | sebastian rudolph,0,10.24963/kr.2024/36,10.24963,kr,0,2
bringing logic programming to primary school: a teacher training course.,iclp,Tom Donohoe,tom donohoe,0,10.12968/prtu.2012.1.4.38,10.12968,prtu,0,4
on the strong equivalences of lpmln programs.,iclp,"Bin Wang, Jun Shen, Shutao Zhang, Zhizheng Zhang",bin wang | jun shen | shutao zhang | zhizheng zhang,0,10.23638/lmcs-17 1:4 2021,10.23638,lmcs,0,1
pruning with belief traps in multi-agent epistemic planning.,kr,"Biqing Fang, Fangzhen Lin",biqing fang | fangzhen lin,0,10.24963/kr.2025/74,10.24963,kr,0,4
deontic paradoxes in asp with weak constraints.,iclp,"Christian Hatschka, Agata Ciabattoni, Thomas Eiter",christian hatschka | agata ciabattoni | thomas eiter,0,10.4204/eptcs.385.39,10.4204,eptcs,0,3
joint proceedings of the joint workshop on knowledge diversity and cognitive aspects of kr and the workshop on symbolic and neuro-symbolic architectures for intelligent robotics technology kodis-cakr-synergy 2024 co-located with the 21st international conference on principles of knowledge representation and reasoning kr 2024 hanoi vietnam november 2-8 2024.,kr,"Yi Zeng, Spyros Kotoulas, Zhisheng Huang",yi zeng | spyros kotoulas | zhisheng huang,0,10.1145/2505515.2505819,10.1145,,1,1
guarded fragments meet dynamic logic: the story of regular guards.,kr,"Bartosz Bednarczyk, Emanuel Kieroński",bartosz bednarczyk | emanuel kiero ski,0,10.24963/kr.2025/9,10.24963,kr,0,3
correct causal inference in probabilistic logic programming.,iclp,,,1,10.1098/rsos.230785/v1/review1,10.1098,rsos,0,5
some enhancements to the prolog playground and ald notebooks for the modern prolog classroom.,iclp,,,1,10.1515/9783110850451.5,10.1515,,1,3
cost-based semantics for querying inconsistent weighted knowledge bases.,kr,"Meghyn Bienvenu, Camille Bourgaux, Robin Jean",meghyn bienvenu | camille bourgaux | robin jean,0,10.24963/kr.2024/16,10.24963,kr,0,1
a hitchhiker apos s guide to reinventing a prolog machine.,iclp,Jesús Castillo,jes s castillo,0,10.17398/2605-5686.37.1.1,10.17398,,1,4
agentified argumentative learning short paper .,iclp,,,1,10.1075/aic.20.c10,10.1075,aic,0,1
leveraging decision-dnnf compilation for enumerating disjoint partial models.,kr,"Jean-Marie Lagniez, Emmanuel Lonca",jean-marie lagniez | emmanuel lonca,0,10.24963/kr.2024/48,10.24963,kr,0,1
proceedings 35th international conference on logic programming technical communications iclp 2019 technical communications las cruces nm usa september 20-25 2019.,iclp,Serdar Kadioglu,serdar kadioglu,0,10.4204/eptcs.306.6,10.4204,eptcs,0,1
tackling the air traffic flow and capacity management problem with explainable answer set programming.,iclp,"Gładyś Sylwester, Malarski Marek, Jasiński Sławomir, Skorupski Jacek",g ady sylwester | malarski marek | jasi ski s awomir | skorupski jacek,0,10.1007/978-3-642-48417-9 8,10.1007,,1,5
the sticky path to expressive querying: decidability of navigational queries under existential rules.,kr,"Piotr Ostropolski-Nalewaja, Sebastian Rudolph",piotr ostropolski-nalewaja | sebastian rudolph,0,10.24963/kr.2024/54,10.24963,kr,0,2
diagnosis for post concept drift decision trees repair.,kr,"Shaked Almog, Meir Kalech",shaked almog | meir kalech,0,10.24963/kr.2023/3,10.24963,kr,0,1
neurosymbolic ai in digital forensics: commonsense and qualitative reasoning.,iclp,"Son Tran, Edjard Mota, Artur d'Avila Garcez",son tran | edjard mota | artur d avila garcez,0,10.1002/9781394302406.ch02,10.1002,ch,0,5
capturing non-flat assumption-based argumentation with bipolar setafs.,kr,"Matti Berthold, Anna Rapberger, Markus Ulbricht",matti berthold | anna rapberger | markus ulbricht,0,10.24963/kr.2024/12,10.24963,kr,0,1
an iterative fixpoint semantics for mknf hybrid knowledge bases with function symbols.,iclp,"Marco Alberti, Riccardo Zese, Fabrizio Riguzzi, Evelina Lamma",marco alberti | riccardo zese | fabrizio riguzzi | evelina lamma,0,10.4204/eptcs.364.7,10.4204,eptcs,0,1
inference in probabilistic logic programs using lifted explanations.,iclp,Fabrizio Riguzzi,fabrizio riguzzi,0,10.1201/9781003427421-9,10.1201,,1,3
refining the semantics of epistemic specifications.,iclp,Ezgi Iraz Su,ezgi iraz su,0,10.4204/eptcs.345.25,10.4204,eptcs,0,1
proportional dependencies and asymptotics of probabilistic representations.,iclp,Darren Bradley,darren bradley,0,10.1093/obo/9780195396577-0393,10.1093,obo,0,2
natlog: a lightweight logic programming language with a neuro-symbolic touch.,iclp,Paul Tarau,paul tarau,0,10.4204/eptcs.345.27,10.4204,eptcs,0,4
on the effects of adding assignments in linear-time temporal logics modulo theories.,kr,"Stéphane Demri, Raul Fervari",st phane demri | raul fervari,0,10.24963/kr.2025/26,10.24963,kr,0,4
mind the gaps: logical english prolog and multi-agent systems for autonomous vehicles.,iclp,"Galileo Sartor, Adam Wyner, Giuseppe Contissa",galileo sartor | adam wyner | giuseppe contissa,0,10.4204/eptcs.416.9,10.4204,eptcs,0,3
automata for dynamic answer set solving: preliminary report.,iclp,Ivor Uhliarik,ivor uhliarik,0,10.5220/0006518303670372,10.5220,,1,4
scalable and ethical medical scheduling: an asp-based framework with patient-centered experimental validation.,iclp,Hongnan Ye,hongnan ye,0,10.1016/j.jfma.2025.09.032,10.1016,j,0,4
generating explainable rule sets from tree-ensemble learning methods by answer set programming.,iclp,"Akihiro Takemura, Katsumi Inoue",akihiro takemura | katsumi inoue,0,10.4204/eptcs.345.26,10.4204,eptcs,0,5
a uniform language to explain decision trees.,kr,"Marcelo Arenas, Pablo Barceló, Diego Bustamante, Jose Caraball, Bernardo Subercaseaux",marcelo arenas | pablo barcel | diego bustamante | jose caraball | bernardo subercaseaux,0,10.24963/kr.2024/6,10.24963,kr,0,5
from probabilistic programming to probabilistic argumentation.,iclp,"Rolf Haenni, Jan-Willem Romeijn, Gregory Wheeler, Jon Williamson",rolf haenni | jan-willem romeijn | gregory wheeler | jon williamson,0,10.1007/978-94-007-0008-6 3,10.1007,,1,3
an epistemic logic for reasoning about strategies in general auctions.,iclp,Jaakko Hintikka,jaakko hintikka,0,10.1016/b978-0-934613-04-0.50007-7,10.1016,b,0,4
a refined operational semantics for freechr.,iclp,"Sascha Rechenberger, Thom Frühwirth",sascha rechenberger | thom fr hwirth,0,10.4204/eptcs.439.20,10.4204,eptcs,0,1
an xai approach for data-to-text processing with asp.,iclp,"Alessandro Dal Palù, Agostino Dovier, Andrea Formisano",alessandro dal pal | agostino dovier | andrea formisano,0,10.4204/eptcs.385.38,10.4204,eptcs,0,5
deontic reasoning based on inconsistency measures.,kr,"Ofer Arieli, Kees van Berkel, Badran Raddaoui, Christian Strasser",ofer arieli | kees van berkel | badran raddaoui | christian strasser,0,10.24963/kr.2024/7,10.24963,kr,0,1
default logic as a species of causal reasoning.,kr,Alexander Bochman,alexander bochman,0,10.24963/kr.2023/12,10.24963,kr,0,4
aspen: asp-based system for collective entity resolution.,kr,"Zhiliang Xiang, Meghyn Bienvenu, Gianluca Cima, Víctor Gutiérrez Basulto, Yazmín Ibáñez García",zhiliang xiang | meghyn bienvenu | gianluca cima | v ctor guti rrez basulto | yazm n ib ez garc a,0,10.24963/kr.2024/74,10.24963,kr,0,3
boolean nearest neighbor language in the knowledge compilation map.,kr,"Ondřej Čepek, Jelena Glišić",ond ej epek | jelena gli i,0,10.24963/kr.2025/24,10.24963,kr,0,4
lost in the crowd: k-unmatchability in anonymized knowledge graphs.,kr,"Piero Andrea Bonatti, Francesco Magliocca, Luigi Sauro",piero andrea bonatti | francesco magliocca | luigi sauro,0,10.24963/kr.2024/18,10.24963,kr,0,1
learning general policies from examples.,kr,"Blai Bonet, Hector Geffner",blai bonet | hector geffner,0,10.24963/kr.2025/71,10.24963,kr,0,5
joint proceedings of the workshops and doctoral consortium of the 41st international conference on logic programming iclp-ws-dc 2025 co-located with 41st international conference on logic programming iclp 2025 rende italy september 9-13 2025.,iclp,Rémy Haemmerlé,r my haemmerl,0,10.1007/11562931 50,10.1007,,1,1
the realizability of revision and contraction operators in epistemic spaces.,kr,"Kai Sauerwald, Matthias Thimm",kai sauerwald | matthias thimm,0,10.24963/kr.2024/62,10.24963,kr,0,2
complexity results and algorithms for preferential argumentative reasoning in aspic+.,kr,"Tuomo Lehtonen, Daphne Odekerken, Johannes P. Wallner, Matti Järvisalo",tuomo lehtonen | daphne odekerken | johannes p. wallner | matti j rvisalo,0,10.24963/kr.2024/49,10.24963,kr,0,3
minimal model reasoning in description logics: don apos t try this at home,kr,"Federica Di Stefano, Quentin Manière, Magdalena Ortiz, Mantas Šimkus",federica di stefano | quentin mani re | magdalena ortiz | mantas imkus,0,10.24963/kr.2025/27,10.24963,kr,0,2
benchmarking for integrating logic rules with everything else.,iclp,"Yanhong A. Liu, Scott D. Stoller, Yi Tong, K. Tuncay Tekle",yanhong a. liu | scott d. stoller | yi tong | k. tuncay tekle,0,10.4204/eptcs.385.3,10.4204,eptcs,0,4
when prolog meets generative models: a new approach for managing knowledge and planning in robotic applications - abstract.,iclp,"Enrico Saccon, Ahmet Tikna, Davide De Martini, Edoardo Lamon, Luigi Palopoli, Marco Roveri",enrico saccon | ahmet tikna | davide de martini | edoardo lamon | luigi palopoli | marco roveri,0,10.1109/icra57147.2024.10610800,10.1109,icra,0,5
abductive reasoning in a paraconsistent framework.,kr,"Meghyn Bienvenu, Katsumi Inoue, Daniil Kozhemiachenko",meghyn bienvenu | katsumi inoue | daniil kozhemiachenko,0,10.24963/kr.2024/13,10.24963,kr,0,5
about the multi-head linear restricted chase termination.,kr,"Lukas Gerlach, Lucas Larroque, Jerzy Marcinkowski, Piotr Ostropolski-Nalewaja",lukas gerlach | lucas larroque | jerzy marcinkowski | piotr ostropolski-nalewaja,0,10.24963/kr.2025/34,10.24963,kr,0,2
a preliminary data-driven analysis of common errors encountered by novice sparc programmers.,iclp,"Zach Hansen, Hanxiang Du, Wanli Xing, Rory Eckel, Justin Lugo, Yuanlin Zhang",zach hansen | hanxiang du | wanli xing | rory eckel | justin lugo | yuanlin zhang,0,10.4204/eptcs.364.2,10.4204,eptcs,0,2
expressive description logics with rich yet affordable numeric constraints.,kr,"Federica Di Stefano, Sanja Lukumbuzya, Magdalena Ortiz, Mantas Šimkus",federica di stefano | sanja lukumbuzya | magdalena ortiz | mantas imkus,0,10.24963/kr.2025/66,10.24963,kr,0,3
representing perfect saturated cost partitioning heuristics in classical planning.,kr,"Paul Höft, David Speck, Jendrik Seipp",paul h ft | david speck | jendrik seipp,0,10.24963/kr.2025/79,10.24963,kr,0,1
on the subtlety of causal reasoning in probabilistic logic programming: a bug report about the causal interpretation of annotated disjunctions.,iclp,,,1,10.1098/rsos.230785/v1/review1,10.1098,rsos,0,4
advances in big data bio analytics.,iclp,Yong Shi,yong shi,0,10.1007/978-981-16-3607-3 1,10.1007,,1,1
pushing the envelope in numeric pattern planning.,kr,"Matteo Cardellini, Enrico Giunchiglia",matteo cardellini | enrico giunchiglia,0,10.24963/kr.2025/73,10.24963,kr,0,3
a representation theorem for causal decision making.,kr,,,1,10.1017/cbo9780511498497.009,10.1017,cbo,0,5
