title,venue,year,authors,doi,Label,id,abstract
Teaching Prolog through Grammars.,iclp,2024,"Helder Coelho, José Carlos Cotta",10.1007/978-3-642-83213-0_15,4,467,"Within this chapter we explain how to write natural language grammars expressed in clausal logic. The notion of definite clause grammars (DCG’s) is behind this as a paradigm for organizing the knowledge required in understanding, which allows efficient parsing...."
On Model Reconciliation: How to Reconcile When Robot Does not Know Human&apos;s Model?,iclp,2022,"Ho Tuan Dung, Tran Cao Son",10.4204/eptcs.364.4,2,416,"The Model Reconciliation Problem (MRP) was introduced to address issues in explainable AI planning. A solution to a MRP is an explanation for the differences between the models of the human and the planning agent (robot). Most approaches to solving MRPs assume that the robot, who needs to provide explanations, knows the human model. This assumption is not always realistic in several situations (e.g., the human might decide to update her model and the robot is unaware of the updates). In this paper, we propose a dialog-based approach for computing explanations of MRPs under the assumptions that (i) the robot does not know the human model; (ii) the human and the robot share the set of predicates of the planning domain and their exchanges are about action descriptions and fluents' values; (iii) communication between the parties is perfect; and (iv) the parties are truthful. A solution of a MRP is computed through a dialog, defined as a sequence of rounds of exchanges, between the robot and the human. In each round, the robot sends a potential explanation, called proposal, to the human who replies with her evaluation of the proposal, called response. We develop algorithms for computing proposals by the robot and responses by the human and implement these algorithms in a system that combines imperative means with answer set programming using the multi-shot feature of clingo."
Concerning Measures in a First-order Logic with Actions and Meta-beliefs.,kr,2023,"Daxin Liu, Qihui Feng, Vaishak Belle, Gerhard Lakemeyer",10.24963/kr.2023/44,2,150,"The unification of logic and probability has been seen as a long-standing concern in philosophy and mathematical logic. In this paper, we propose a new general probabilistic modal logic of belief a..."
Omega-Completeness of the Logic of Here-and-There and Strong Equivalence of Logic Programs.,kr,2023,"Jorge Fandinno, Vladimir Lifschitz",10.24963/kr.2023/24,3,158,Theory of strongly equivalent transformations is an essential part of the methodology of representing knowledge in answer set programming. Strong equivalence of two programs can be sometimes charac...
Justifications for Goal-Directed Constraint Answer Set Programming.,iclp,2020,"Joaquín Arias, Manuel Carro, Zhuo Chen, Gopal Gupta",10.4204/eptcs.325.12,5,117,"Ethical and legal concerns make it necessary for programs that may directly influence the life of people (via, e.g., legal or health counseling) to justify in human-understandable terms the advice given. Answer Set Programming has a rich semantics that makes it possible to very concisely express complex knowledge. However, justifying why an answer is a consequence from an ASP program may be non-trivial -- even more so when the user is an expert in a given domain, but not necessarily knowledgeable in ASP. Most ASP systems generate answers using SAT-solving procedures on ground rules that do not match how humans perceive reasoning. We propose using s(CASP), a query-driven, top-down execution model for predicate ASP with constraints to generate justification trees of (constrained) answer sets. The operational semantics of s(CASP) relies on backward chaining, which is intuitive to follow and lends itself to generating explanations that are easier to translate into natural language. We show how s(CASP) provides minimal justifications for, among others, relevant examples proposed in the literature, both as search trees but, more importantly, as explanations in natural language. We validate our design with real ASP applications and evaluate the cost of generating s(CASP) justification trees."
A Report on Sequential KR-Approaches as Cognitive Logic.,kr,2024,Srinivas Devadas,10.21236/ada208322,2,244,"This paper presents approaches to multi-level sequential logic synthesis-algorithms and techniques for the area and performance optimization of interconnected finite state machine descriptions. Interacting finite state machines are common in industrial chip designs. While optimization techniques for single finite state machines are relatively well developed, the problem of optimization across latch boundaries has received much less attention. Techniques to optimize pipelined combinational logic so as to improve area throughput have been proposed. However, logic cannot be straightforwardly migrated across latch boundaries when the basic blocks are sequential rather than combinational circuits. We present new techniques for the exploitation of sequential dont cares in arbitrary, interconnected sequential machine structures. Exploiting these dont care sequences can result in significant improvements in area and performance. We address the problem of migrating logic across state machine boundaries so as to make particular machines less complex at the possible expense of making others more complex. This can be useful from both an area and performance point of view. We present new optimization algorithms that incrementally modify state machine structures across latch boundaries. We discuss the use of more global state machine decomposition and factorization algorithms for area optimization. Finally, we present experimental results using these algorithms on sequential circuits."
Compactness and Preservation in Logical Argumentation Frameworks.,kr,2025,"Ofer Arieli, Christian Straßer",10.1177/19462174261418979,2,343,"This paper considers various aspects of representing arguments and logical argumentation frameworks. We investigate different approaches to address consistency and minimality within such frameworks, arguing that these properties can, and in some cases should, be omitted from the definition of an argument. We analyze the relationship between how consistency is verified and the selection of attack rules, showing that this choice should align with the underlying logic. Based on these results, we propose compact representations of logical argumentation frameworks and examine methods for transforming one framework into another (e.g., a more concise version) without losing logical entailments."
An ASP-based Approach for Attractor Enumeration in Synchronous and Asynchronous Boolean Networks.,iclp,2019,"Tarek Khaled, Belaïd Benhamou",10.4204/eptcs.306.34,4,420,"Boolean networks are conventionally used to represent and simulate gene regulatory networks. In the analysis of the dynamic of a Boolean network, the attractors are the objects of a special attention. In this work, we propose a novel approach based on Answer Set Programming (ASP) to express Boolean networks and simulate the dynamics of such networks. Our work focuses on the identification of the attractors, it relies on the exhaustive enumeration of all the attractors of synchronous and asynchronous Boolean networks. We applied and evaluated the proposed approach on real biological networks, and the obtained results indicate that this novel approach is promising."
Constructionist Co-Design for the Learning Experience: A Work-in-Progress on Engaging Teachers to Integrate Logic Programming in Primary School.,iclp,2025,"Maria Daskolia, Jaume Piera, Karen Soacha",10.21125/edulearn.2022.2414,3,336,"Current sustainability issues, such as climate change, biodiversity loss and environmental pollution affect human and ecosystem health and activity and undermine the function and cohesion of local communities. The inherent difficulty of addressing such challenges requires a range of interventions as well as their integration at various levels. Citizen science and environmental education can both address and promote sustainability by developing synergies to engage people, youths in particular, with learning about and dealing with them. In this paper, we argue that developing synergies between citizen science and environmental education is not only possible and compatible due to their many common points of reference, but also for the benefit of education and the collective efforts towards sustainability. The work presented here has been conducted in the context of the European project Cos4Cloud. The Cos4Cloud vision is to boost citizen science through the support of citizen observatories. Citizen observatories are community-based environmental monitoring and information systems that invite citizens to collect and share observations mainly of an environmental content. They are characterised as including participation of citizens in environmental monitoring, “in situ” citizen-generated observations and the use of mobile and web technologies. Among the project’s goals is to help expand the realms of current citizen science practice based on citizen observatories through their integration into school-based environmental education. The paper focuses on the co-design of 6 educational scenarios by 6 groups of Greek teachers respectively, who were given the challenge to think in terms of the synergies they needed to develop to incorporate some of the citizen observatories’ platforms participating in the project into their environmental education practices with the aim to support their students’ environmental, scientific, citizenship and digital literacy. Each scenario focused on a different theme and environmental issue, and offered a detailed description of a proposed way of implementing citizen science in schools, using the project’s citizen observatory platforms. All scenarios were accompanied by creative and pedagogically informed activities and employed a range of integrated and interdisciplinary approaches to learning, encouraging students to engage in action learning and to use the outcomes of their learning to improve their school and local environments. In this paper, we describe the co-design process and its outputs -the scenarios- and we discuss the four levels of integration they propose for integrating the Cos4Cloud citizen observatories into school-based environmental education projects and activities."
Variant-based Equational Unification under Constructor Symbols.,iclp,2020,"Damián Aparicio-Sánchez, Santiago Escobar, Julia Sapiña",10.4204/eptcs.325.10,2,149,"Equational unification of two terms consists of finding a substitution that, when applied to both terms, makes them equal modulo some equational properties. A narrowing-based equational unification algorithm relying on the concept of the variants of a term is available in the most recent version of Maude, version 3.0, which provides quite sophisticated unification features. A variant of a term t is a pair consisting of a substitution sigma and the canonical form of tsigma. Variant-based unification is decidable when the equational theory satisfies the finite variant property. However, this unification procedure does not take into account constructor symbols and, thus, may compute many more unifiers than the necessary or may not be able to stop immediately. In this paper, we integrate the notion of constructor symbol into the variant-based unification algorithm. Our experiments on positive and negative unification problems show an impressive speedup."
Formalisation of Action with Durations in Answer Set Programming.,iclp,2021,Etienne Tignon,10.4204/eptcs.345.47,5,220,"In this paper, I will discuss the work I am currently doing as a Ph.D. student at the University of Potsdam, under the tutoring of T. Schaub. I'm currently looking into action description in ASP. More precisely, my goal is to explore how to represent actions with durations in ASP, in different contexts. Right now, I'm focused on Multi-Agent Path Finding (MAPF), looking at how to represent speeds for different agents and contexts. Before tackling duration, I wanted to explore and compare different representations of action taking in ASP. For this, I started comparing different simple encodings tackling the MAPF problem. Even in simple code, choices and assumptions have been made in their creations. The objective of my work is to present the consequences of those design decisions in terms of performance and knowledge representation. As far as I know, there is no current research on this topic. Besides that, I'm also exploring different ways to represent duration and to solve related problems. I planed to compare them the same way I described before. I also want this to help me find innovative and effective ways to solve problems with duration."
Autonomous Task Completion Based on Goal-directed Answer Set Programming.,iclp,2024,Alexis R. Tudor,10.4204/eptcs.416.39,5,423,"Task planning for autonomous agents has typically been done using deep learning models and simulation-based reinforcement learning. This research proposes combining inductive learning techniques with goal-directed answer set programming to increase the explainability and reliability of systems for task breakdown and completion. Preliminary research has led to the creation of a Python harness that utilizes s(CASP) to solve task problems in a computationally efficient way. Although this research is in the early stages, we are exploring solutions to complex problems in simulated task completion."
Non-monotone Fixpoint Theory Based on the Structure of Weak Bilattices.,kr,2024,"Angelos Charalambidis, Giannos Chatziagapis, Babis Kostopoulos, Panos Rondogiannis",10.24963/kr.2024/23,1,581,"We extend the well-known representation theorem for interlaced bilattices to the broader class of weak interlaced bilattices. Based on this new theorem, we develop a fixpoint theory for non-monoton..."
Adding Circumscription to Decidable Fragments of First-Order Logic: A Complexity Rollercoaster.,kr,2024,"Carsten Lutz, Quentin Manière",10.24963/kr.2024/50,2,537,"We study extensions of expressive decidable fragments of first-order logic with circumscription, considering in particular the two-variable fragment FO^2, its extension C^2 with counting quantifier..."
Two-Variable Logic for Hierarchically Partitioned and Ordered Data.,kr,2025,"Oskar Fiuk, Emanuel Kieroński, Vincent Michielini",10.24963/kr.2025/31,2,583,"We study Two-Variable First-Order Logic, FO2, under semantic constraints that model hierarchically structured data. Our first logic extends FO2 with a linear order < and a chain of increasingly coa..."
General Game Playing - Killer App for Logic Programming.,iclp,2024,Michael Thielscher,10.1007/978-3-642-02846-5_28,3,427,"As a novel, grand AI challenge, General Game Playing is concerned with the development of systems that understand the rules of unknown games and play these games well without human intervention. In this paper, we show how Answer Set Programming can assist a general..."
Recursive Aggregates as Intensional Functions.,iclp,2023,"Jorge Fandinno, Zachary Hansen",10.1609/aaai.v39i14.33633,4,365,"Abstract This paper shows that the semantics of programs with aggregates implemented by the solvers clingo and dlv can be characterized as extended First-Order formulas with intensional functions in the logic of Here-and-There. Furthermore, this characterization can be used to study the strong equivalence of programs with aggregates under either semantics. We also present a transformation that reduces the task of checking strong equivalence to reasoning in classical First-Order logic, which serves as a foundation for automating this procedure."
Generative Logic: Teaching Prolog as Generative AI in Art and Design.,iclp,2024,Shalin Hai-Jew,10.4018/979-8-3693-0074-9.ch010,2,214,"Instructional designers often pride themselves on using the most cutting-edge commercial authoring and other tools available to achieve their work. Their creations have to meet high technical standards in order to function in a digital environment, in learning management systems, content management systems, on social media, on digital content platforms, and others. In the present moment, generative AI tools enable the making of novel texts and digital visuals, among others. A major extant question is how best to harness generative art-making AIs in instructional design work. In this case, this work explores professionally ethical (and legal) ways to use a generative art-making AIs for ID work, as an innovative approach based on a review of the literature, a year of using several free web-facing art-making generative AIs (CrAIyon, Deep Dream Generator, and others) in open or public beta, and learning from applied instructional design work (over several decades)."
Credible Models of Belief Update.,kr,2023,"Eduardo Fermé, Sébastien Konieczny, Ramón Pino Pérez, Nicolas Schwind",10.24963/kr.2023/25,1,524,"In this work, we address one important problem of Katsuno and Mendelzon update operators, that is to require that any updated belief base must entail any new input in a consistent way. This assumes..."
Geospatial Trajectory Generation via Efficient Abduction: Deployment for Independent Testing.,iclp,2024,"Divyagna Bavikadi, Dyuman Aditya, Devendra Parkar, Paulo Shakarian, Graham Mueller, Chad Parvis, Gerardo I. Simari",10.4204/eptcs.416.24,1,464,"The ability to generate artificial human movement patterns while meeting location and time constraints is an important problem in the security community, particularly as it enables the study of the analog problem of detecting such patterns while maintaining privacy. We frame this problem as an instance of abduction guided by a novel parsimony function represented as an aggregate truth value over an annotated logic program. This approach has the added benefit of affording explainability to an analyst user. By showing that any subset of such a program can provide a lower bound on this parsimony requirement, we are able to abduce movement trajectories efficiently through an informed (i.e., A*) search. We describe how our implementation was enhanced with the application of multiple techniques in order to be scaled and integrated with a cloud-based software stack that included bottom-up rule learning, geolocated knowledge graph retrieval/management, and interfaces with government systems for independently conducted government-run tests for which we provide results. We also report on our own experiments showing that we not only provide exact results but also scale to very large scenarios and provide realistic agent trajectories that can go undetected by machine learning anomaly detectors."
Streamlining Input/Output Logics with Sequent Calculi.,kr,2023,"Agata Ciabattoni, Dmitry Rozplokhas",10.24963/kr.2023/15,2,46,Input/Output (I/O) logic is a general framework for reasoning about conditional norms and/or causal relations. We streamline Bochmanâs causal I/O logics via proof-search-oriented sequent calculi. O...
Democratising Access to Logic Programming: A Web Application Design Tool for Querying Prolog Code.,iclp,2024,,10.7551/mitpress/4316.003.0026,2,240,"SICSts Prolog is a sequential Prolog implementation built around a version of the Warren Abstract Machine (WAM), For several years, SICStus has supported WAM-to-native code compilation for Sun workstations, This old scheme is neitber as portable nor as open to experiments as would be desirable. With the support of my colleagues in the SICStus group, 1 bave developed a new scheme that is more of both and performs sligbuy better too. Portabil- ity enhancement is achieved by introducing a new abstract machine, a fragment of an ideal- ized general-purpose architecture, between the WAM and native code targets. This allows most of the complexity of native code compilatioa to be in phases containing onty well- encapsulated target dependencies. Moreover, it allows the run-time library for native code to he substantially target-independent. For RISC targets, a derivative of the new abstract ma- chine allows quasi-target-independent instruction scheduling to be performed. Tuis paper ex- plains the SICStus approach to cative code compilation, presents the new scheme in detail, and evaluates it with respect to portabitity and performance."
Reliable Conversational Agents under ASP Control that Understand Natural Language.,iclp,2024,Yankai Zeng,10.4204/eptcs.416.41,1,461,"Efforts have been made to make machines converse like humans in the past few decades. The recent techniques of Large Language Models (LLMs) make it possible to have human-like conversations with machines, but LLM's flaws of lacking understanding and reliability are well documented. We believe that the best way to eliminate this problem is to use LLMs only as parsers to translate text to knowledge and vice versa and carry out the conversation by reasoning over this knowledge using the answer set programming. I have been developing a framework based on LLMs and ASP to realize reliable chatbots that ""understand"" human conversation. This framework has been used to develop task-specific chatbots as well as socialbots. My future research is focused on making these chatbots scalable and trainable."
Learning Commonsense Knowledge Through Interactive Dialogue.,iclp,2018,"Benjamin Wu, Alessandra Russo, Mark Law, Katsumi Inoue",10.29007/lrph,2,55,"One of the most difficult problems in Artificial Intelligence is related to acquiring commonsense knowledge -- to create a collection of facts and information that an ordinary person should know. In this work, we present a system that, from a limited background knowledge, is able to learn to form simple concepts through interactive dialogue with a user. We approach the problem using a syntactic parser, along with a mechanism to check for synonymy, to translate sentences into a logical formulas represented in Event Calculus using Answer Set Programming (ASP). Reasoning and learning tasks are then automatically generated for the translated text, with learning being initiated through question and answering. The system is capable of learning with no contextual knowledge prior to the dialogue. The system has been evaluated on stories inspired by the Facebook's bAbI's question-answering tasks, and through appropriate question and answering is able to respond accurately to these dialogues."
Argumentative Causal Discovery.,kr,2024,"Fabrizio Russo, Anna Rapberger, Francesca Toni",10.24963/kr.2024/88,3,346,"Causal discovery amounts to unearthing causal relationships amongst features in data. It is a crucial companion to causal inference, necessary to build scientific knowledge without resorting to ex..."
Architecture for Simulating Behavior Mode Changes in Norm-Aware Autonomous Agents.,iclp,2024,"Sean Glaze, Daniela Inclezan",10.4204/eptcs.416.7,2,27,"This paper presents an architecture for simulating the actions of a norm-aware intelligent agent whose behavior with respect to norm compliance is set, and can later be changed, by a human controller. Updating an agent's behavior mode from a norm-abiding to a riskier one may be relevant when the agent is involved in time-sensitive rescue operations, for example. We base our work on the Authorization and Obligation Policy Language AOPL designed by Gelfond and Lobo for the specification of norms. We introduce an architecture and a prototype software system that can be used to simulate an agent's plans under different behavior modes that can later be changed by the controller. We envision such software to be useful to policy makers, as they can more readily understand how agents may act in certain situations based on the agents' attitudes towards norm-compliance. Policy makers may then refine their policies if simulations show unwanted consequences."
MTLearn: Extracting Temporal Rules Using Datalog Rule Learners.,kr,2024,"Dingmin Wang, Przemysław Andrzej Wałęga, Bernardo Cuenca Grau",10.24963/kr.2024/90,1,175,"We propose a framework for temporal rule learning from datasets, which capitalises on the availability of increasingly mature Datalog rule learners. Our approach is based on the idea of splitting a..."
Solving Gossip Problems using Answer Set Programming: An Epistemic Planning Approach.,iclp,2020,"Esra Erdem, Andreas Herzig",10.4204/eptcs.325.11,4,412,"We investigate the use of Answer Set Programming to solve variations of gossip problems, by modeling them as epistemic planning problems."
Inductive First-Order Formula Synthesis by ASP: A Case Study in Invariant Inference.,iclp,2025,"Ziyi Yang, George Pîrlea, Ilya Sergey",10.4204/eptcs.439.35,3,595,"We present a framework for synthesising formulas in first-order logic (FOL) from examples, which unifies and advances state-of-the-art approaches for inference of transition system invariants. To do so, we study and categorise the existing methodologies, encoding techniques in their formula synthesis via answer set programming (ASP). Based on the derived categorisation, we propose orthogonal slices, a new technique for formula enumeration that partitions the search space into manageable chunks, enabling two approaches for incremental candidate pruning. Using a combination of existing techniques for first-order (FO) invariant synthesis and the orthogonal slices implemented in our framework FORCE, we significantly accelerate a state-of-the-art algorithm for distributed system invariant inference. We also show that our approach facilitates composition of different invariant inference frameworks, allowing for novel optimisations."
Towards Parallelising Extension Construction for Serialisable Semantics in Abstract Argumentation.,kr,2023,"Lars Bengel, Matthias Thimm",10.24963/kr.2023/72,1,470,We consider the recently proposed notion of serialisability of semantics for abstract argumentation frameworks. This notion describes a method for the serialised non-deterministic construction of...
Ontology-Based Query Answering over Datalog-Expressible Rule Sets is Undecidable.,kr,2024,"David Carral, Lucas Larroque, Michaël Thomazo",10.24963/kr.2024/22,4,162,"Ontology-based query answering is a problem that takes as input a set of facts F, an ontology R (typically expressed by existential rules), a Boolean query q , and asks whether R and F entails q. T..."
Reasoning about Study Regulations in Answer Set Programming (Preliminary Report).,iclp,2023,"SUSANA HAHN, TORSTEN SCHAUB, CEDRIC MARTENS, AMADE NEMES, HENRY OTUNUYA, JAVIER ROMERO, SEBASTIAN SCHELLHORN",10.1017/s1471068424000383,5,348,"We are interested in automating reasoning with and about study regulations, catering to various stakeholders, ranging from administrators, over faculty, to students at different stages. Our work builds on an extensive analysis of various study programs at the University of Potsdam. The conceptualization of the underlying principles provides us with a formal account of study regulations. In particular, the formalization reveals the properties of admissible study plans. With these at end, we propose an encoding of study regulations in Answer Set Programming that produces corresponding study plans. Finally, we show how this approach can be extended to a generic user interface for exploring study plans."
"Proceedings 36th International Conference on Logic Programming (Technical Communications), ICLP Technical Communications 2020, (Technical Communications) UNICAL, Rende (CS), Italy, 18-24th September 2020.",iclp,2020,,10.1109/cscc49995.2020.00008,1,330,Provides a listing of current committee members and society officers.
Reasoning About Knowledge on Regular Expressions Is 2EXPTIME-Complete.,kr,2025,"Avijeet Ghosh, Sujata Ghosh, François Schwarzentruber",10.24963/kr.2025/35,2,85,"Logics for reasoning about knowledge and actions have seen many applications in various domains of multi-agent systems, including epistemic planning. Change of knowledge based on observations about..."
"Weighted Merging Operators: Product, Utility-based Operators and Egalitarianism.",kr,2024,"Patricia Everaere, Sébastien Konieczny, Ramón Pino Pérez",10.24963/kr.2024/31,1,309,"We propose new operators for weighted propositional belief merging operators. We introduce distance-based operators that use the product as aggregation function. In social choice theory, the prod..."
Revising Boolean Logical Models of Biological Regulatory Networks.,kr,2023,"Frederico Aleixo, Matthias Knorr, João Leite",10.24963/kr.2023/2,3,167,"Boolean regulatory networks are used to represent complex biological processes, modelling the interactions of biological compounds, such as proteins or genes, with each other and with other substan..."
Can LLMs Solve ASP Problems? Insights from a Benchmarking Study.,kr,2025,"Lin Ren, Guohui Xiao, Guilin Qi, Yishuai Geng, Haohan Xue",10.24963/kr.2025/60,3,545,"Answer Set Programming (ASP) is a powerful paradigm for non-monotonic reasoning. Recently, large language models (LLMs) have demonstrated promising capabilities in logical reasoning. Despite this..."
Contractions Based on Optimal Repairs.,kr,2024,"Franz Baader, Renata Wassermann",10.25368/2024.122,1,453,"Removing unwanted consequences from a knowledge base has been investigated in belief change under the name contraction and is called repair in ontology engineering. Simple repair and contraction approaches based on removing statements from the knowledge base (respectively called belief base contractions and classical repairs) have the disadvantage that they are syntax-dependent and may remove more consequences than necessary. Belief set contractions do not have these problems, but may result in belief sets that have no finite representation if one works with logics that are not fragments of propositional logic. Similarly, optimal repairs, which are syntax-independent and maximize the retained consequences, may not exist. In this paper, we want to leverage advances in characterizing and computing optimal repairs of ontologies based on the description logics EL to obtain contraction operations that combine the advantages of belief set and belief base contractions. The basic idea is to employ, in the partial meet contraction approach, optimal repairs instead of optimal classical repairs as remainders. We introduce this new approach in a very general setting, and prove a characterization theorem that relates the obtained contractions with well-known postulates. Then, we consider several interesting instances, not only in the standard repair/contraction setting where one wants to get rid of a consequence, but also in other settings such as variants of forgetting in propositional and description logic. This is an extended version of an article accepted at KR 2024."
Early Validation of High-level Requirements on Cyber-Physical Systems.,iclp,2025,Ondřej Vašíček,10.4204/eptcs.416.40,1,112,"The overarching, broad topic of my research are advancements in the area of safety-critical, cyber-physical systems (CPS) development with emphasis on validation and verification. The particular focus of my research is the early validation of high-level requirements on CPS. My current approach for tackling this problem is transforming the requirements into Event Calculus and subsequently reasoning about them using ASP solvers such as the grounding-free s(CASP). Below, I discuss my research, its current state, and the open issues that are still left to tackle. The first results of my work will be presented in a paper that was accepted for ICLP'24, which is my first paper in this area."
Deep Inductive Logic Programming meets Reinforcement Learning.,iclp,2023,", Yushi Cao",10.32657/10356/182530,4,18,"The integration of inductive logic programming (symbolism) and deep learning (connectionism) has drawn researchers' attention and become a novel research direction toward better reasoning ability. However, the current integration is still far from perfect, especially the poor generalization and learning efficiency of the current models. In this thesis, we aim to improve the generalization of current approaches, together with the learning ability and performance. Besides, we also aim to conduct a full evaluation regarding the reasoning ability of Large Language Models with inductive logic programming tasks. First, to improve the generalization for the current logic-based deep reinforcement learning (DRL) algorithms, we propose a novel framework called GALOIS, which is capable of synthesizing white-box programs with hierarchy and definitive cause-effect logic. It utilizes a program sketch and introduces a new sketch-based programming language to guide the synthesis process. Utilizing this framework, GALOIS implements a sketch-based program synthesis approach that automatically generates white-box, interpretable programs with a generalizable cause-effect logic. Comprehensive evaluation across various complex decision-making tasks demonstrates that GALOIS outperforms mainstream DRL methods and previous state-of-the-art program-guided baselines in learning capability, generalization, interpretation, and the ability to reuse knowledge across different tasks. Then, we observe that current start-of-the-art neural inductive logic programming (ILP) models suffer from requiring a large number of training iterations and training examples for training. Besides, they are still far from perfect in terms of performance and generalization when dealing with tasks that require complex task-solving logic. To mitigate this issue, we present a novel framework named Failure Reflection Guided Regularizer (FRGR). FRGR initially identifies and summarizes error patterns dynamically when the model repeatedly makes similar mistakes during training. Subsequently, it penalties the model for making similar mistakes in future training iterations. This approach encourages the model to avoid recurring mistakes with similar error patterns, thereby facilitating faster convergence to a more optimal and higher-performing solution. Experimental results on multiple relational reasoning and decision-making tasks demonstrate the effectiveness of FRGR in improving neural ILP models' performance, generalization, and learning efficiency. Finally, in spite of the improvement the state-of-the-art neural ILP solvers can bring out, there has been a surge of interest in investigating the reasoning ability of the LLMs. Whereas the textual and numerical reasoning benchmarks adopted by previous works are rather shallow and simple, it is hard to conclude that the large language models (LLMs) possess strong reasoning ability by merely achieving positive results on these benchmarks. Recent efforts have demonstrated that LLMs are poor at solving sequential decision-making problems that require common-sense planning by evaluating their performance on the reinforcement learning benchmarks. In this work, we conduct an in-depth assessment of several state-of-the-art LLMs' reasoning ability based on the ILP benchmark, which is broadly recognized as a representative and challenging measurement for evaluating logic program induction/synthesis systems as it requires inducing strict cause-effect logic to achieve robust deduction on independent and identically distributed (IID) and out-of-distribution (OOD) test samples. Our evaluations illustrate that compared with the neural program induction systems which are much smaller in model size, the state-of-the-art LLMs are much poorer in terms of reasoning ability by achieving much lower performance and generalization using either natural language prompting or truth-value matrix prompting."
A Neurosymbolic Approach to Fraud Detection on Financial Data in the Public Administration.,iclp,2025,,10.1002/9781118936764.ch2,5,389,"Occupational fraud is hard to detect, as employees know their systems inside out. There are both fraudulent inclusions and fraudulent exclusions. This chapter discusses how to recognize the red flags of fraud and different types of anomalies. Accounting and analytic anomalies are distinguished and whether procedures are considered to be data mining or data analytics."
Value awareness and process automation: a reflection through school place allocation models.,iclp,2023,"Joaquín Arias, Mar Moreno-Rebato, Jose A. Rodriguez-García, Sascha Ossowski",10.1007/978-3-031-58202-8_16,1,379,"Value-aware systems need to explicitly represent and reason with norms and values applicable to a problem domain. To this respect, a key question is to determine as to how far a particular legal model is aligned with a certain value system. In this paper, we apply..."
Advancing Algorithmic Approaches to Probabilistic Argumentation under the Constellation Approach.,kr,2024,"Andrei Popescu, Johannes P. Wallner",10.24963/kr.2024/55,2,571,Reasoning with defeasible and conflicting knowledge in an argumentative form is a key research field in computational argumentation. Reasoning under various forms of uncertainty is both a key featu...
Early Validation of High-level Requirements on Cyber-Physical Systems.,iclp,2024,Ondřej Vašíček,10.4204/eptcs.416.40,1,287,"The overarching, broad topic of my research are advancements in the area of safety-critical, cyber-physical systems (CPS) development with emphasis on validation and verification. The particular focus of my research is the early validation of high-level requirements on CPS. My current approach for tackling this problem is transforming the requirements into Event Calculus and subsequently reasoning about them using ASP solvers such as the grounding-free s(CASP). Below, I discuss my research, its current state, and the open issues that are still left to tackle. The first results of my work will be presented in a paper that was accepted for ICLP'24, which is my first paper in this area."
Reasoning about Probability via Continuous Functions.,kr,2023,"Tommaso Flaminio, Sandro Preto, Sara Ugolini",10.24963/kr.2023/28,4,218,For functional representation in an algebraizable logic we mean a representation of the algebras of formulas of the logic by means of (possibly real-valued) functions. Functional representations ...
Propositional Abduction via Only-Knowing: A Non-Monotonic Approach.,iclp,2025,"Sanderson Molick, Vaishak Belle",10.4204/eptcs.439.2,3,363,"The paper introduces a basic logic of knowledge and abduction by extending Levesque logic of only-knowing with an abduction modal operator defined via the combination of basic epistemic concepts. The upshot is an alternative approach to abduction that employs a modal vocabulary and explores the relation between abductive reasoning and epistemic states of only knowing. Furthermore, by incorporating a preferential relation into modal frames, we provide a non-monotonic extension of our basic framework capable of expressing different selection methods for abductive explanations. Core metatheoretic properties of non-monotonic consequence relations are explored within this setting and shown to provide a well-behaved foundation for abductive reasoning."
Visual Graph Question Answering with ASP and LLMs for Language Parsing.,iclp,2024,"Jakob Johannes Bauer, Thomas Eiter, Nelson Higuera Ruiz, Johannes Oetsch",10.4204/eptcs.416.2,5,306,"Visual Question Answering (VQA) is a challenging problem that requires to process multimodal input. Answer-Set Programming (ASP) has shown great potential in this regard to add interpretability and explainability to modular VQA architectures. In this work, we address the problem of how to integrate ASP with modules for vision and natural language processing to solve a new and demanding VQA variant that is concerned with images of graphs (not graphs in symbolic form). Images containing graph-based structures are an ubiquitous and popular form of visualisation. Here, we deal with the particular problem of graphs inspired by transit networks, and we introduce a novel dataset that amends an existing one by adding images of graphs that resemble metro lines. Our modular neuro-symbolic approach combines optical graph recognition for graph parsing, a pretrained optical character recognition neural network for parsing labels, Large Language Models (LLMs) for language processing, and ASP for reasoning. This method serves as a first baseline and achieves an overall average accuracy of 73% on the dataset. Our evaluation provides further evidence of the potential of modular neuro-symbolic systems, in particular with pretrained models that do not involve any further training and logic programming for reasoning, to solve complex VQA tasks."
How to Manage a Budget with ATL+.,kr,2023,"Stéphane Demri, Raine Rönnholm",10.24963/kr.2023/19,5,245,We study the alternating-time temporal logic ATL+ enriched with one resource (written ATL+(1)) extending ATL+ with the possibility to manage a budget. We propose a game-theoretic semantics via the...
Automating Disease Management Using Answer Set Programming.,iclp,2016,,10.1017/cbo9781139342124.007,5,163,"Knowledge Representation, Reasoning, and the Design of Intelligent Agents - March 2014"
Natural Language Generation From Ontologies Using Grammatical Framework.,iclp,2018,Dan Moldovan,10.21236/ada512325,3,233,"During the Phase I period, Lymba studied the feasibility of an automated system that exposes a folksonomys semantic structure. We developed a prototype system that implements our proposed design and exposes a folksonomys semantic structure by building an ontology of tags which can be improve various folksonomy-related applications, such as automatic generation of user, document, or tag recommendations or collaborative tagging across multiple social bookmarking applications in addition to a folksonomy visualization, browsing and search application."
